event	time	node	configname	repetition	platoon_size
808254	293.418875324853	Highway.node[32].appl	SimpleHighNumberCACC	1	6.8625718207349e-321
875393	305.291986872854	Highway.node[35].appl	SimpleHighNumberCACC	1	5.46694337548
875566	305.292267939329	Highway.node[34].appl	SimpleHighNumberCACC	1	7.4653319086612e-321
921974	313.117913688611	Highway.node[37].appl	SimpleHighNumberCACC	1	5.1158916022926
922135	313.118142754944	Highway.node[36].appl	SimpleHighNumberCACC	1	8.073032653046e-321
936737	315.590452959725	Highway.node[26].appl	SimpleHighNumberCACC	1	7.0652467738577
936914	315.5907210576	Highway.node[24].appl	SimpleHighNumberCACC	1	6.743996065733e-321
1061761	329.185836504066	Highway.node[39].appl	SimpleHighNumberCACC	2	4.9972425130065
1061930	329.186091570265	Highway.node[38].appl	SimpleHighNumberCACC	2	9.1550364174383e-321
1069493	330.332462597344	Highway.node[12].appl	SimpleHighNumberCACC	2	4.1023640607998
1069675	330.33271775376	Highway.node[8].appl	SimpleHighNumberCACC	2	1.0059176549328e-320
1162805	344.355794852823	Highway.node[41].appl	SimpleHighNumberCACC	2	5.1761117155503
1163040	344.356023919233	Highway.node[40].appl	SimpleHighNumberCACC	2	9.6194581245291e-321
127138	120.726503693354	Highway.node[9].appl	SimpleHighNumberCACC	2	5.4331719541014
127315	120.726745759575	Highway.node[8].appl	SimpleHighNumberCACC	2	1.0622411385587e-321
1276225	360.788186553709	Highway.node[30].appl	SimpleHighNumberCACC	2	5.9955226917819
1276417	360.788441649941	Highway.node[28].appl	SimpleHighNumberCACC	2	7.8605844253342e-321
1342656	369.823527151467	Highway.node[43].appl	SimpleHighNumberCACC	2	5.7865314879985
1342829	369.823795217988	Highway.node[42].appl	SimpleHighNumberCACC	2	9.9208381684922e-321
1359062	371.883731656859	Highway.node[45].appl	SimpleHighNumberCACC	2	5.0788469159233
1359225	371.883986723358	Highway.node[44].appl	SimpleHighNumberCACC	2	1.0820037643923e-320
1424228	380.418366633668	Highway.node[26].appl	SimpleHighNumberCACC	2	4.7782873179802
1424420	380.418634730358	Highway.node[24].appl	SimpleHighNumberCACC	2	6.1659392600988e-321
1499144	389.759696409255	Highway.node[47].appl	SimpleHighNumberCACC	2	5.3302128447401
1499313	389.759990475847	Highway.node[46].appl	SimpleHighNumberCACC	2	1.1205408847679e-320
1513759	391.41411325709	Highway.node[34].appl	SimpleHighNumberCACC	2	6.1272147863756
1513927	391.414420353549	Highway.node[32].appl	SimpleHighNumberCACC	2	9.1649177303551e-321
1667424	410.369962038017	Highway.node[38].appl	SimpleHighNumberCACC	2	5.9805431680815
1667613	410.370204134381	Highway.node[36].appl	SimpleHighNumberCACC	2	9.9455414507843e-321
1681637	411.988779944254	Highway.node[49].appl	SimpleHighNumberCACC	2	5.7516918809969
1681814	411.98903501079	Highway.node[48].appl	SimpleHighNumberCACC	2	1.1605602020811e-320
1761479	421.512928382155	Highway.node[42].appl	SimpleHighNumberCACC	2	7.3711609193446
1761659	421.513144478427	Highway.node[40].appl	SimpleHighNumberCACC	2	1.2242946703946e-320
1779565	423.548659634301	Highway.node[51].appl	SimpleHighNumberCACC	2	5.4218180637024
1779738	423.548966700547	Highway.node[50].appl	SimpleHighNumberCACC	2	1.2401047710615e-320
1838440	430.491683881827	Highway.node[53].appl	SimpleHighNumberCACC	2	5.0303422251686
1838601	430.491899948353	Highway.node[52].appl	SimpleHighNumberCACC	2	1.3077917645418e-320
184169	143.241423781719	Highway.node[2].appl	SimpleHighNumberCACC	2	7.9902052592497
184291	143.241678878221	Highway.node[0].appl	SimpleHighNumberCACC	2	1.2944519921041e-321
193307	146.007499178999	Highway.node[11].appl	SimpleHighNumberCACC	2	5.8915049647963
193484	146.007767245411	Highway.node[10].appl	SimpleHighNumberCACC	2	1.5167815327326e-321
198885	147.356023133926	Highway.node[13].appl	SimpleHighNumberCACC	2	5.17677196551
199058	147.356304200282	Highway.node[12].appl	SimpleHighNumberCACC	2	2.1590668723262e-321
2025904	452.067014972637	Highway.node[55].appl	SimpleHighNumberCACC	2	5.4039181547726
2026066	452.067244038791	Highway.node[54].appl	SimpleHighNumberCACC	2	1.3483051475008e-320
2141682	464.695109646012	Highway.node[24].appl	SimpleHighNumberCACC	2	7.013153590881
2141880	464.695390802348	Highway.node[20].appl	SimpleHighNumberCACC	2	1.1783465653314e-320
2201617	470.946102960701	Highway.node[57].appl	SimpleHighNumberCACC	2	5.7362585081881
2201794	470.946345026923	Highway.node[56].appl	SimpleHighNumberCACC	2	1.3991939090224e-320
225431	156.89184586108	Highway.node[6].appl	SimpleHighNumberCACC	2	8.246811605495
225595	156.892074957436	Highway.node[4].appl	SimpleHighNumberCACC	2	1.9861438962818e-321
2301085	481.240750501515	Highway.node[59].appl	SimpleHighNumberCACC	2	5.5306806595226
2301262	481.240979567806	Highway.node[58].appl	SimpleHighNumberCACC	2	1.4723156246069e-320
